Date,N10,N50,N60,N170,N180,N240,N250,N20,N30,N40,N70,N75,N80,N85,N90,N95,N100,N110,N120,N130,N140,N150,N160,N185,N190,N200,N210,N220,N230,N260,N265,N270,N280,N290,N295,N300,N310,N320,N330,N340,N350
1997-08-11,1890.9284870132894,35253.290423496655,50.2633522592689,13.18079171451196,0.0,23.10461960296162,27961.35414559995,551.6842599673171,15.329152424457558,19.62653728219974,118.2457266333619,35254.34567711923,456.52883069939156,8.742509710579164,18.38190843969891,34471.79145852893,356.2791578288568,2.4132249683316256,2364.142596643107,206.6529605966709,34088.98497575038,302.28155207065066,2780.1541517093183,0.0,0.0,0.0,0.0,35.49880723324039,34167.37506840777,31380.634119552487,12.875599359178013,14.846130582760264,23810.407567948892,62518.94178428292,7.483180009737913,56987.010005392636,3777.6586729423616,61180.3124706234,5834.723087724013,3777.6586729423616,61180.3124706234
1997-08-21,933.962755742943,28459.741105499586,50.2633522592689,12.532906056044249,0.0,22.72100732617799,28821.20377089691,272.4865352009795,13.634705825248579,16.614584861466525,112.94267109660842,28460.774009878158,368.55495769312006,8.454917246891988,17.9685108938238,27829.019304521935,287.62356528369367,2.238843230264844,1299.7973450382851,166.83058774882664,27519.980274393292,244.03138891389588,1624.026783910219,0.0,0.0,0.0,0.0,15.480196606359875,27556.334073207385,31964.286394576673,12.917380729433223,14.919061771422584,24253.26026790844,55946.07594759036,7.2541396709565955,50995.73823223753,3380.498341602423,53549.10894396938,5943.243820329745,3380.498341602423,53549.10894396938
1997-09-01,1352.7128917108746,22587.086597570105,50.2633522592689,12.826078944324614,0.0,23.160583441849226,34510.548377604224,394.6581881531084,14.476766507416023,18.102729559148983,107.82002190305926,22588.095904436595,292.5062659061326,8.16823471289864,17.55130061327864,22086.6992850856,228.27449017195107,2.0698871142398256,1658.9545291129803,132.40628362939427,21841.42825878333,193.67724906451141,1927.767491753544,0.0,0.0,0.0,0.0,23.18984754300092,21892.538092839444,38042.85073691888,13.324473577199425,15.638421670445323,28865.43903611853,54769.730777617224,7.211328887114163,49923.48089617512,3309.4185950984584,52897.921944604015,7073.454878951455,3309.4185950984584,52897.921944604015
1997-09-11,1357.9159766600585,28616.024522525116,50.2633522592689,13.261941300604441,0.0,22.936581908412215,28675.14501259091,396.1762043496233,14.486026977803562,18.119193518876635,113.07138059259724,28617.057992705315,370.5787690152924,8.462002716251188,17.978755726592006,27981.834191902548,289.20296563035623,2.243081694664378,1737.8367964855584,167.74668893081605,27671.098164690804,245.37141562508342,2072.440054115002,0.0,0.0,0.0,0.0,38.821103498646075,27754.310258841568,31975.468022281373,12.918176090246513,14.920451750346007,24261.74445315172,56167.77164085222,7.262142176936846,51197.81738344353,3393.894132294055,54380.83206543125,5945.322863763934,3393.894132294055,54380.83206543125
1997-09-21,1995.4500587038428,41311.143251036,50.2633522592689,13.063945094299644,0.0,22.494233148783195,25303.33750026224,582.1787531883706,15.474791887864146,19.888528227957668,122.55665125617804,41312.215371339844,534.9756750504625,8.970241104005696,18.70589973631839,40395.1922980926,417.49977252018704,2.554627369621803,2544.783230978418,242.162815713115,39946.60692348567,354.2235812939939,3028.459632827672,0.0,0.0,0.0,0.0,31.056370947459097,40017.21908017144,28247.770169493604,12.641790462813708,14.441156745691687,21433.31196109632,66061.24967515227,7.6001678215205235,60215.87999995645,3991.6998858014513,64770.26470107084,5252.217535080723,3991.6998858014513,64770.26470107084
1997-10-01,1879.0867529253385,28191.585539251155,50.2633522592689,12.542318615129188,0.0,20.754031592388493,16199.544038548705,548.229397262615,15.312310059881263,19.596269327798474,112.72100151307684,28192.617466263302,365.0824441362926,8.442701418200533,17.950840780109715,27566.81513444906,284.91358483474716,2.2315428095364758,2265.072003622715,165.25871504556028,27260.687860625174,241.73213261953197,2603.4143197126996,0.0,0.0,0.0,0.0,15.696218320522844,27297.46313989126,18006.2213452733,11.725022845263116,12.906699563327871,13662.422096261082,43988.58737372283,6.78782508394732,40096.29717404507,2657.976348611239,43916.27999806119,3347.966615514439,2657.976348611239,43916.27999806119
1997-10-11,649.5752078521309,14320.415510899296,50.2633522592689,12.089688862901404,0.0,18.259915628742405,9436.248358641244,189.51558469725487,12.900772751333637,15.33297951783721,99.29943589571097,14321.379857735554,185.45579771452697,7.6680508289274485,16.191764305154127,14003.482701840285,144.73135316117188,1.7875767097467494,838.9432746491801,83.9486732936698,13847.975148187586,122.79589503200803,1005.8405186906504,0.0,0.0,0.0,0.0,7.402202097598442,13865.44737861049,10199.411268640411,10.741115656175708,11.361533380699035,7738.91752264317,23238.69785598113,5.724903359025948,21182.44278350884,1404.180333161106,22703.528568739297,1896.4161203246372,1404.180333161106,22703.528568739297
1997-10-21,245.59059857061007,9903.092849580753,50.2633522592689,11.689759905098672,0.0,16.483638229276902,7595.692744021387,71.65182002274487,11.307921865287664,12.609501170569505,93.69174021498878,9904.022276739535,128.2528897467285,7.318972091061701,15.210055508828471,9684.17889956675,100.08969527308882,1.600732997923587,369.92743800229715,58.05512727561278,9576.636868639773,84.92011886915162,480.7439196169613,0.0,0.0,0.0,0.0,3.1031482963729915,9584.337361560007,7937.729544882825,10.340563795112073,10.794890070930215,6022.8411863114015,16812.351805222683,5.269974557289933,15324.726126110885,1015.8733464923139,16081.688199873694,1475.8928600100996,1015.8733464923139,16081.688199873694
1997-11-01,158.99601928977555,7473.028923019726,50.2633522592689,11.556833580868913,0.0,15.862321002463823,6064.306446872471,46.38758252469683,10.741416760171807,11.663543753575087,90.05575718867995,7473.932548623114,96.78425798620147,7.081911967234836,14.555921605437344,7308.030804226813,75.53129530415137,1.4790477508891504,251.6585812003127,43.81049367979638,7226.875707556859,64.08378562916957,334.5235485909173,0.0,0.0,0.0,0.0,2.1749253578415155,7232.312826115229,6302.5257336763725,9.742360600316488,10.326565245800372,4782.111982014359,12949.094695585853,4.938820804291733,11803.305812889514,782.4390254767474,12335.298747711506,1171.8530692897507,782.4390254767474,12335.298747711506
1997-11-11,142.16723442435136,6145.864093244017,50.2633522592689,11.511217548223852,0.0,15.56093698848576,4912.310740325105,41.47773226415365,10.607968299690448,11.442725687159108,87.81560328003917,6146.75022369684,79.59780952754434,6.930815316287396,14.144761200214397,6010.308453872799,62.11883814665081,1.4038328993225089,218.89433809038277,36.030852576555276,5943.564459949268,52.70411809162045,287.38111378062575,0.0,0.0,0.0,0.0,1.9052779261671584,5948.2975196015705,5106.789761647999,9.231815558189586,9.939447749618294,3874.833922266242,10585.729547621204,4.703142606519368,9649.060883438131,639.6345154557085,10103.866497846744,949.5252394493394,639.6345154557085,10103.866497846744
